id,monday_train,monday_link,tuesday_train,tuesday_link,wednesday_train,wednesday_link,thursday_train,thursday_link,friday_train,friday_link,saturday_train,saturday_link,sunday_train,sunday_link
1,Sp 12621,NGP/BPL,22692,BPL/NGP,REST,,22692,NGP/BPQ,22691,BPQ/NGP,Sp 12621,NGP/BPL,22692,BPL/NGP
2,Sp 12721,NGP/BPL,12612,BPL/NGP,12437,NGP/BPL,Sp 12722,BPL/NGP,REST,,12286 / Sp 12649,NGP/BPQ/NGP,22691,NGP/BPL
3,Sp 22692,BPL/NGP,Sp 12721 / 12442,NGP/BPL,ARR 12442,BPL/NGP,Sp 12621,NGP/BPL,22692,BPL/NGP,REST,,Sp 22416 / 12213,NGP/BPQ/NGP
4,22691,NGP/BPL,12214,HBJ/NGP,Sp 12621,NGP/BPL,22692,BPL/NGP,22692,NGP/BPQ,22691,BPQ/NGP,Sp 12621,NGP/BPL
5,22692,BPL/NGP,22692 / Sp 12649,NGP/BPQ/NGP,REST,,22691,NGP/BPL,Sp 22692,BPL/NGP,22692,NGP/BPQ,22691,BPQ/NGP
6,12269,NGP/HBJ,Sp 12722,BPL/NGP,22691,NGP/BPL,Sp 22692,BPL/NGP,REST,,12434 / 12611,NGP/BPQ/NGP,12285,NGP/HBJ
7,Sp 12722,BPL/NGP,12214,NGP/BPQ,22691,BPQ/NGP,REST,,Sp 12721 / 12286,NGP/BPL,ARR 12286,HBJ/NGP,Sp 12270 / 12433,NGP/BPQ/NGP
8,12441,NGP/BPL,Sp 12722,BPL/NGP,REST,,12285,NGP/HBJ,Sp 16863,BPL/NGP,Sp 12721 / 12270,NGP/BPL,ARR 12270,HBJ/NGP
9,22692,NGP/BPQ,22691,BPQ/NGP,REST,,12441,NGP/BPL,Sp 16863,BPL/NGP,Sp 12721,NGP/BPL,12442,BPL/NGP
10,12438 / 12269,NGP/BPQ/NGP,REST,,22692,NGP/BPQ,22691,BPQ/NGP,12269,NGP/HBJ,Sp 12722,BPL/NGP,12433,NGP/BPL
11,Sp 12722,BPL/NGP,Sp 12621,NGP/BPL,22692,BPL/NGP,REST,,Sp 12721 / 12434,NGP/BPL,ARR 12434,BPL/NGP,12270 / 12285,NGP/BPQ/NGP
12,REST,,12286 / Sp 12621,NGP/BPQ/NGP,Sp 12721,NGP/BPL,12434,BPL/NGP,Sp 12626 / 12269,NGP/BPQ/NGP,22691,NGP/BPL,Sp 22692,BPL/NGP
13,Sp 12721 / 12286,NGP/BPL,ARR 12286,HBJ/NGP,12270 / 12437,NGP/BPQ/NGP,REST,,22691,NGP/BPL,Sp 22692,BPL/NGP,Sp 12721,NGP/BPL
14,12438,BPL/NGP,12612 / Sp 12621,NGP/BPQ/NGP,REST,,12434 / 12285,NGP/BPQ/NGP,12433,NGP/BPL,Sp 12722,BPL/NGP,12213,NGP/HBJ
15,Sp 22692,BPL/NGP,Sp12721/12270,NGP/BPL,ARR 12270,HBJ/NGP,REST,,Sp 12621,NGP/BPL,22692,BPL/NGP,22692,NGP/BPQ
16,22691,BPQ/NGP,22691,NGP/BPL,Sp 22692,BPL/NGP,REST,,Sp 12626 / 12433,NGP/BPQ/NGP,12611,NGP/BPL,Sp 12722,BPL/NGP
